name,latitude,longitude
Los Angeles,28.46582,-99.00003000000001
Melrose Park,37.28236,-79.96087
Bentonville,38.10058,-93.44909
New York,39.68529,-93.92688000000001
Dallas,34.74398,-86.57666
Denver,32.994009999999996,-85.60661999999999
Detroit,34.02816,-88.17004
Fairfield,31.25184,-86.64551999999999
Fremont,32.54541,-86.89471
Harrisburg,32.87596,-87.22444
Hopkins,33.48455,-87.07861
Mountain View,33.915929999999996,-86.35637
Rolling Meadows,34.7687,-86.63472
Somerset,31.021290000000004,-85.89271
Atlanta,33.11875,-93.05266
Hutchinson,35.6448,-91.67430999999999
Newark,35.70174,-91.44152
Plainfield,33.047909999999995,-93.31878
Saint Paul,35.82425,-93.76408
Alameda,25.76343,-80.29755
Clifton,28.709159999999997,-81.26923000000001
Menlo Park,30.42302,-81.67149
Miami,25.77427,-80.19366
Ocala,29.1872,-82.14009
San Jose,30.24274,-81.61593
Santa Clara,30.583809999999996,-84.56213000000001
Newington,32.59017,-81.50399999999999
Irving,39.20588,-89.40453000000001
Northbrook,39.958659999999995,-91.3757
Grand Rapids,38.435320000000004,-87.74114
Moline,37.36031,-96.30389
Reading,38.519459999999995,-95.9586
Dearborn,32.1821,-91.27871999999999
Palo Alto,30.09187,-91.03815999999999
Chattanooga,34.42286,-98.65645
Collierville,35.04204,-89.66453
Fort Worth,32.72541,-97.32085
Las Vegas,28.548040000000004,-99.48976
San Ramon,27.933059999999998,-99.38754
Flushing,40.11844,-74.90656
Cedar Rapids,42.00833,-91.64407
Chicago,41.85003,-87.65005
Elk Grove Village,42.00392,-87.97035
Raritan,40.69587,-90.82736
Lake Orion,42.78448,-83.23966
Jersey City,40.728159999999995,-74.07764
North Bergen,40.80427,-74.01208000000001
The Bronx,40.84985,-73.86641
San Francisco,37.77493,-122.41942
North Las Vegas,36.198859999999996,-115.1175
Seattle,47.60621,-122.33207
