model,brand
Samsung Galaxy J7 Prime,samsung
iPhone 5s,iphone
iPhone 6S,iphone
iPhone 7,iphone
LG G4 H818P,lg
iPhone 6,iphone
iPhone 6 Plus,iphone
Motorola Moto G5 Plus,motorola
Motorola Moto G4 Plus,motorola
iPad Air Wi-Fi,ipad
Samsung Galaxy S6 Flat,samsung
Samsung Galaxy S8 Plus,samsung
Samsung Galaxy S5,samsung
iPhone SE,iphone
Samsung Galaxy S7,samsung
Motorola Moto X2,motorola
Motorola Moto G3 4G,motorola
Motorola Moto X Play 4G Dual,motorola
Motorola Moto G4 Play,motorola
Samsung Galaxy J5,samsung
Samsung Galaxy S5 New Edition Duos ,samsung
Motorola Moto G3 HDTV,motorola
Motorola Moto G5 ,motorola
Samsung Galaxy J3,samsung
Samsung Galaxy S6 Edge,samsung
Samsung Galaxy Note 8,samsung
Sony Xperia Z2,sony
Motorola Moto G2 3G Dual,motorola
Motorola Moto Z Play,motorola
Samsung Galaxy S8,samsung
Samsung Galaxy On 7,samsung
Samsung Galaxy S7 Edge,samsung
iPhone 8,iphone
iPhone 6S Plus,iphone
LG K10 Novo,lg
Samsung Galaxy Core Plus Duos TV,samsung
iPhone 5c,iphone
iPhone 4S,iphone
Motorola Moto X Style,motorola
iPhone 7 Plus,iphone
Samsung Galaxy A5 2016,samsung
Samsung Galaxy A5,samsung
Motorola Moto G5S Plus,motorola
Samsung Galaxy J7,samsung
Samsung Galaxy A3 2016,samsung
Samsung Galaxy S3 i9300,samsung
Sony Xperia M4 Aqua Dual,sony
Samsung Galaxy Note 3,samsung
Motorola Moto G2 4G Dual,motorola
iPad Mini Wi-Fi + 4G,ipad
iPhone 5,iphone
Samsung Galaxy Note 5,samsung
Sony Xperia M4 Aqua,sony
LG G5 SE,lg
Motorola Moto Z,motorola
Samsung Galaxy Note 4,samsung
iPad Air 2 Wi-Fi,ipad
Samsung Galaxy S4 i9515,samsung
Sony Xperia Z5,sony
Samsung Galaxy J5 PRO,samsung
Samsung Galaxy S6 Edge Plus,samsung
Lenovo Vibe A7010 Dual Chip,lenovo
Samsung Galaxy J1 Mini,samsung
Samsung Galaxy S3 Mini,samsung
iPhone 4G,iphone
Samsung Galaxy Y Duos,samsung
Motorola Moto X Force,motorola
Motorola Moto Z2 Play,motorola
Samsung Galaxy Gran Prime Duos TV,samsung
Samsung Galaxy A5 2017,samsung
Samsung Galaxy Gran Neo Duos,samsung
Motorola Moto MAXX ,motorola
Motorola Moto G4 DTV,motorola
Samsung Galaxy A9 Pro 2016,samsung
Samsung Galaxy S5 Mini Duos,samsung
Samsung Galaxy A7 2017,samsung
Samsung Galaxy J2 Prime TV,samsung
Samsung Galaxy Gran Prime 3G Duos,samsung
Sony Xperia Z3 Dual,sony
Sony Xperia Z3 TV,sony
Sony Xperia Z3 Compact,sony
Samsung Galaxy J5 Prime,samsung
Motorola Moto E2 4G Dual,motorola
Samsung Galaxy Core 2 Duos,samsung
LG Nexus 5 D821,lg
LG K10 TV,lg
Motorola Moto E2 3G Dual,motorola
Samsung Galaxy J2 4G Duos TV,samsung
LG K10,lg
Motorola Moto G4 Play DTV,motorola
Samsung Galaxy A7,samsung
Quantum GO 4G,quantum
iPad Air 2 Wi-Fi + 4G,ipad
LG G4 Stylus H630,lg
Samsung Galaxy J5 2016 Metal,samsung
LG G3 Beat D724,lg
Samsung Galaxy Win Duos,samsung
Samsung Gear S2,samsung
Sony Xperia Z3 Plus,sony
Samsung Galaxy S4 i9505,samsung
Lenovo Vibe K5,lenovo
iPhone X,iphone
LG G4 Beat H736,lg
Samsung Galaxy S5 Duos,samsung
iPhone 8 Plus,iphone
Samsung Galaxy A7 2016,samsung
LG G3 Stylus D690,lg
Samsung Galaxy E5 4G Duos,samsung
LG G3 D855,lg
Samsung Galaxy Grand Duos i9082,samsung
Samsung Galaxy J1 2016,samsung
Samsung Galaxy J7 2016 Metal,samsung
Samsung Galaxy J7 Neo,samsung
Samsung Galaxy S5 New Edition,samsung
Samsung Galaxy J2 4G Duos ,samsung
Samsung Galaxy E7,samsung
Samsung Galaxy Gran 2 Duos TV,samsung
Samsung Galaxy Win 2 Duos TV,samsung
Samsung Galaxy Note 3 Neo Duos,samsung
LG Prime Plus H522,lg
Sony Xperia Z3 ,sony
Sony Xperia Z5 Premium,sony
Samsung Galaxy Note 2 N7100,samsung
Samsung Galaxy Note Edge,samsung
iPad Mini 3 Wi-Fi + 4G,ipad
Samsung Galaxy Tab 3 10.1 Wi-Fi + 3G,samsung
Samsung Galaxy S3 Duos,samsung
LG G4 H815P,lg
Samsung Galaxy A3 Duos,samsung
LG L Prime D337,lg
iPad 3 Wi-Fi,ipad
Samsung Galaxy S5 Mini,samsung
iPad Mini 4 Wi-Fi,ipad
Samsung Galaxy Tab S2 8 Wi-Fi + 4G,samsung
Samsung Galaxy J7 PRO,samsung
LG  X Screen,lg
Samsung Galaxy S4 Mini Duos,samsung
Asus Zenfone 3 Max 16 GB,asus
Samsung Galaxy S3 Slim Duos,samsung
Quantum Muv Pro,quantum
Samsung Galaxy Tab E 7 Wi-Fi,samsung
Quantum Muv,quantum
Samsung Gear Fit 2 Pequeno,samsung
iPad Mini Wi-Fi,ipad
iPad Air Wi-Fi + 4G,ipad
LG X Power,lg
iPad 2 Wi-Fi + 3G,ipad
iPad Mini 3 Wi-Fi,ipad
Samsung Galaxy S4 i9500,samsung
Samsung Galaxy S4 Mini,samsung
Samsung Galaxy Tab S 10.5 Wi-Fi + 4G,samsung
Motorola Moto Z Power Edition,motorola
Samsung Galaxy Tab 4  10.1 Wi-Fi + 3G,samsung
Samsung Galaxy Tab A 2016 10.1  W-Fi + 4G,samsung
iPad 4 Wi-Fi,ipad
Asus Zenfone 3 Max  32 GB,asus
Samsung Galaxy Tab S 8.4 Wi-Fi + 4G,samsung
Samsung Galaxy Tab A com S Pen 8 Wi-Fi + 4G,samsung
LG G4 Stylus HDTV H540T,lg
LG K8,lg
iPad 4 Wi-Fi + 4G,ipad
LG K4,lg
Motorola Moto G5S,motorola
Samsung Galaxy Tab Pro 10.1 Wi-Fi,samsung
Samsung Gear Fit 2 Grande,samsung
LG L80 Dual,lg
Asus Zenfone Selfie,asus
Motorola Moto Z2 Force,motorola
Quantum YOU,quantum
Samsung Galaxy Gran Neo Plus Duos,samsung
Asus Zenfone 6,asus
iPad Mini 2 Wi-Fi,ipad
Samsung Galaxy Gran Prime Duos,samsung
Asus Zenfone 5,asus
Samsung Gear S3 Frontier,samsung
Samsung Galaxy Tab S2 9.7 Wi-Fi + 4G,samsung
Samsung Galaxy Mega Duos,samsung
Samsung Galaxy Tab E 9.6 Wi-Fi,samsung
iPad Mini 2 Wi-Fi + 4G,ipad
iPad 3 Wi-Fi + 4G,ipad
Asus Zenfone 2 Deluxe,asus
Motorola Moto G1 4G,motorola
Samsung Gear S3 Classic,samsung
Quantum Muv Up,quantum
Samsung Galaxy Tab E 9.6 Wi-Fi + 3G,samsung
iPad 2 Wi-Fi,ipad
Asus Zenfone 2,asus
Samsung Galaxy Tab E 7 Wi-Fi + 3G,samsung
Asus Zenfone Go,asus
Asus Zenfone 2 Laser,asus
Asus Live,asus
"Asus Zenfone 2 Laser 6""",asus
Quantum GO 3G,quantum
Samsung Galaxy S3 Neo Duos i9300i,samsung
Samsung Galaxy Pocket 2 Duos,samsung
Samsung Galaxy Young 2 Duos TV,samsung
iPad Mini 4 Wi-Fi + 4G,ipad
Motorola Moto E1,motorola
Samsung Galaxy Tab S 10.5 Wi-Fi,samsung
Samsung Galaxy Tab 4 10.1 Wi-Fi,samsung
Sony Xperia Z ULTRA,sony
Motorola Moto G1 3G,motorola
Xiaomi Redmi 2,other
LG G2 Mini D618,lg
LG Nexus 4,lg
Outros TV LED 15,other
Motorola Moto E4 Plus,motorola
Samsung Galaxy S Duos 2,samsung
