operating_system_version,operating_system
Android 5.0.2,android
Ubuntu ,ubuntu
Android 7,android
Android 6.0.1,android
Windows 7 ,windows
Windows 10 ,windows
iOS 11.0.3,ios
Android 6,android
Android 4.4.4,android
Android 7.1.1,android
Mac OS X 10.12.6,mac
Android 5.1,android
Windows 8.1 ,windows
Android 5.1.1,android
Android 8.1,android
Windows 8 ,windows
iOS 9.3.5,ios
Android 4.2.2,android
Android 5,android
iOS 11.3,ios
Android 4.1.2,android
Android 4.4.2,android
Android 5.0.1,android
iOS 11.1.1,ios
Windows XP ,windows
iOS 10.3.3,ios
Windows Phone 8.1,windows
Chrome OS 10452.85,chrome os
Android 8,android
Mac OS X 10.10.4,mac
iOS 11.2.6,ios
Android ,android
Android 4.3,android
Mac OS X 10.11.6,mac
Windows Vista ,windows
iOS 11.1.2,ios
Fedora ,another
Windows Phone 10,windows
Linux ,linux
Mac OS X 10.13.4,mac
Android 7.1.2,android
iOS 8.1.3,ios
iOS 11.2.1,ios
Android 4.0.3,android
FreeBSD ,another
iOS 11.2.2,ios
Android 2.3.6,android
iOS 10.2.1,ios
iOS 7.1.2,ios
Android 4.0.4,android
Mac OS X 10.7.5,mac
Chrome OS 9901.77,chrome os
Chrome OS 10323.67,chrome os
Chrome OS 10452.96,chrome os
Other ,other
iOS 8.1.1,ios
iOS 11.0.2,ios
iOS 11.2.5,ios
iOS 10.3.1,ios
Mac OS X 10.10.5,mac
Mac OS X 10.11.5,mac
iOS 10.3.2,ios
iOS 11.2,ios
Android 3.2,android
Mac OS X 10.13.3,mac
Mac OS X 10.13.1,mac
Mac OS X 10.12.2,mac
Android 4.4.3,android
BlackBerry OS 10.3.2,blackberry
Android 6.1,android
iOS 11.1,ios
Windows Phone 8,windows
iOS 10.2,ios
iOS 11.4,ios
BlackBerry OS 10.3.3,blackberry
Android 4.1.1,android
Chrome OS 10452.74,chrome os
Mac OS X 10.12,mac
Android 4.4,android
iOS 10.1,ios
Mac OS X 10.13.2,mac
iOS 10.1.1,ios
Mac OS X 10.12.5,mac
Mac OS X 10.8.5,mac
iOS 8.2,ios
Mac OS X 10.10,mac
iOS 10.0.2,ios
iOS 9.1,ios
iOS 6.1.6,ios
Mac OS X 10.9,mac
iOS 9.2.1,ios
Mac OS X 10.9.5,mac
Mac OS X 10.11,mac
Mac OS X 10.6.8,mac
iOS 7.1.1,ios
iOS 3.2,ios
Windows RT ,windows
Tizen 2.3,tizen
iOS 9.3.2,ios
Mac OS X 10.13,mac
Mac OS X 10.11.4,mac
Mac OS X 10.7,mac
iOS 8.4.1,ios
iOS 11,ios
iOS 11.0.1,ios
Chrome OS 10032.86,chrome os
Android 7.0.1,android
iOS 5.0.1,ios
iOS 7.0.3,ios
Mac OS X 10.12.4,mac
Android 7.1,android
iOS 9.2,ios
Android 3.2.2,android
Mac OS X 10.13.5,mac
iOS 8.1,ios
Symbian OS ,another
Chrome OS 10176.76,chrome os
Chrome OS 10176.66,chrome os
Chrome OS 10323.62,chrome os
iOS 6.1.2,ios
Tizen 3,tizen
iOS 10.3,ios
iOS 5,ios
Tizen 2.4,tizen
Android 4,android
Mac OS X 10.10.1,mac
Chrome OS 10032.75,chrome os
iOS 9.3.4,ios
BlackBerry OS ,blackberry
Android 10.0.2,android
iOS 8.3,ios
