sku,precio_reales
9288.0,"749,00"
304.0,"1.679,00"
6888.0,"2.329,00"
11890.0,"2.469,00"
7517.0,"1.939,00"
2831.0,"2.469,00"
2845.0,"2.469,00"
12548.0,"2.469,00"
12536.0,"739,00"
10407.0,"2.329,00"
3983.0,"2.469,00"
3347.0,"669,00"
3348.0,"759,00"
12772.0,"1.839,00"
382.0,"619,00"
10351.0,"2.329,00"
6011.0,0
8260.0,"2.329,00"
12788.0,"2.109,00"
8442.0,"2.329,00"
8498.0,"2.329,00"
8903.0,"1.939,00"
12800.0,"2.469,00"
10378.0,"2.469,00"
7616.0,"409,00"
12802.0,"1.939,00"
7825.0,"1.939,00"
8176.0,"1.069,00"
10464.0,"499,00"
10086.0,"2.689,00"
9946.0,"2.689,00"
318.0,"2.329,00"
6357.0,"2.469,00"
6791.0,"569,00"
10728.0,"2.469,00"
10730.0,"1.939,00"
12520.0,"2.469,00"
12521.0,"2.329,00"
12522.0,"739,00"
7393.0,"2.469,00"
12507.0,"709,00"
3336.0,"2.329,00"
13179.0,"2.329,00"
2952.0,"2.329,00"
2940.0,"2.329,00"
725.0,"2.329,00"
2766.0,"2.469,00"
14296.0,"1.399,00"
12660.0,"829,00"
6343.0,"2.469,00"
3107.0,"2.469,00"
3349.0,"849,00"
9272.0,"659,00"
6023.0,0
12744.0,"1.749,00"
12746.0,"1.939,00"
8246.0,"2.879,00"
8247.0,"2.729,00"
9287.0,"699,00"
723.0,"1.939,00"
6580.0,"1.069,00"
6581.0,"999,00"
9260.0,"1.939,00"
8512.0,"2.329,00"
10394.0,"1.939,00"
1382.0,"2.329,00"
3360.0,"2.329,00"
10408.0,"1.939,00"
10380.0,"1.939,00"
13404.0,"3.589,00"
7001.0,"2.469,00"
2692.0,"599,00"
2832.0,"2.469,00"
10463.0,"2.329,00"
15758.0,"2.469,00"
10462.0,"2.469,00"
2691.0,"1.099,00"
276.0,"1.209,00"
1405.0,"1.939,00"
1381.0,"1.939,00"
12760.0,"1.939,00"
8233.0,"2.469,00"
6663.0,"1.939,00"
12759.0,"1.839,00"
1438.0,"2.329,00"
6831.0,"1.939,00"
2685.0,"2.469,00"
