person,total_conversions,total_checkouts,has_checkout,has_conversion,total_conversions_month_1,total_checkouts_month_1,has_checkout_month_1,has_conversion_month_1,total_conversions_month_2,total_checkouts_month_2,has_checkout_month_2,has_conversion_month_2,total_conversions_month_3,total_checkouts_month_3,has_checkout_month_3,has_conversion_month_3,total_conversions_month_4,total_checkouts_month_4,has_checkout_month_4,has_conversion_month_4,total_conversions_month_5,total_checkouts_month_5,has_checkout_month_5,has_conversion_month_5,total_conversions_month_1_4,total_checkouts_month_1_4,has_checkout_month_1_4,has_conversion_month_1_4,total_conversions_last_week,total_checkouts_last_week,has_checkout_last_week,has_conversion_last_week,amount_of_months_that_has_bought,timestamp_of_last_event,days_to_last_event
0008ed71,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1526574517000000000,15
00091926,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1527796323000000000,1
00091a7a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1522076218000000000,67
000ba417,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,1,3,1,1,1,1527340162000000000,6
000c79fe,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527554287000000000,3
000e4d9e,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1527702322000000000,2
000e619d,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1526660738000000000,14
001001be,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,1526993027000000000,10
0010e89a,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527704357000000000,2
0016c4b5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527619679000000000,3
001802e4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527788709000000000,1
001804a2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,1,1,1,1527510712000000000,4
0019e639,2,15,1,1,0,0,0,0,1,9,1,1,0,0,0,0,0,2,1,0,1,4,1,1,1,11,1,1,0,0,0,0,2,1527027357000000000,10
001a2273,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1526824620000000000,12
001b0bf9,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,1,1526999450000000000,10
001ca5ee,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1527070503000000000,9
001dfc31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527635214000000000,3
001e9aea,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1526950960000000000,10
0020152e,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,1,2,1,1,1,1527682308000000000,2
00202cdb,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1526388537000000000,17
0022965d,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,3,1,0,0,1527783693000000000,1
0027574e,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1526587172000000000,15
00295d74,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,1527631692000000000,3
002aea56,4,11,1,1,4,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,10,1,1,0,0,0,0,1,1526506099000000000,16
002b0188,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1526570813000000000,15
002e74b2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527255813000000000,7
002ed810,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,2,2,1,1,1,1527625128000000000,3
002fb981,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1527683592000000000,2
00317e49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1526359144000000000,17
